task_id,sample_id,category,model_a,model_b,completed,current_ratings,judges,choices,model_a_wins,model_b_wins,ties
311,architecture_019_single,architecture,cogfun,wan21,0,0,,,0,0,0
312,architecture_019_single,architecture,cogvideo5b,sora2,0,0,,,0,0,0
313,architecture_019_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
314,architecture_019_single,architecture,sora2,wan21,0,0,,,0,0,0
315,architecture_020_multi,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
316,architecture_020_multi,architecture,cogvideo5b,vidu,0,0,,,0,0,0
317,architecture_020_multi,architecture,videocrafter,vidu,0,0,,,0,0,0
318,architecture_021_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
319,architecture_023_single,architecture,cogvideo5b,jimeng,0,0,,,0,0,0
320,architecture_023_single,architecture,cogvideo5b,vidu,0,0,,,0,0,0
321,architecture_023_single,architecture,jimeng,vidu,0,0,,,0,0,0
322,architecture_024_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
323,architecture_025_multi,architecture,kling,videocrafter,0,0,,,0,0,0
324,architecture_025_multi,architecture,kling,wan21,0,0,,,0,0,0
325,architecture_025_multi,architecture,videocrafter,wan21,0,0,,,0,0,0
326,architecture_025_single,architecture,kling,vidu,0,0,,,0,0,0
327,architecture_026_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
328,architecture_026_single,architecture,cogfun,vidu,0,0,,,0,0,0
329,architecture_026_single,architecture,videocrafter,vidu,0,0,,,0,0,0
330,architecture_027_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
331,architecture_027_single,architecture,cogfun,vidu,0,0,,,0,0,0
332,architecture_027_single,architecture,videocrafter,vidu,0,0,,,0,0,0
333,architecture_028_multi,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
334,architecture_028_multi,architecture,cogfun,wan21,0,0,,,0,0,0
335,architecture_028_multi,architecture,cogvideo5b,wan21,0,0,,,0,0,0
336,architecture_028_single,architecture,cogfun,kling,0,0,,,0,0,0
337,architecture_028_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
338,architecture_028_single,architecture,kling,videocrafter,0,0,,,0,0,0
339,architecture_029_single,architecture,cogvideo5b,sora2,0,0,,,0,0,0
340,architecture_029_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
341,architecture_029_single,architecture,sora2,videocrafter,0,0,,,0,0,0
342,architecture_030_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
343,architecture_030_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
344,architecture_030_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
345,architecture_031_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
346,architecture_031_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
347,architecture_031_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
348,architecture_032_single,architecture,cogfun,kling,0,0,,,0,0,0
349,architecture_032_single,architecture,cogfun,vidu,0,0,,,0,0,0
350,architecture_032_single,architecture,cogfun,wan21,0,0,,,0,0,0
351,architecture_032_single,architecture,kling,vidu,0,0,,,0,0,0
352,architecture_032_single,architecture,kling,wan21,0,0,,,0,0,0
353,architecture_032_single,architecture,vidu,wan21,0,0,,,0,0,0
354,architecture_033_single,architecture,cogfun,wan21,0,0,,,0,0,0
355,architecture_034_multi,architecture,kling,vidu,0,0,,,0,0,0
356,architecture_035_single,architecture,jimeng,sora2,0,0,,,0,0,0
357,architecture_035_single,architecture,jimeng,wan21,0,0,,,0,0,0
358,architecture_035_single,architecture,sora2,wan21,0,0,,,0,0,0
359,architecture_036_multi,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
360,architecture_036_multi,architecture,cogfun,kling,0,0,,,0,0,0
361,architecture_036_multi,architecture,cogvideo5b,kling,0,0,,,0,0,0
362,architecture_037_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
363,architecture_037_single,architecture,cogfun,wan21,0,0,,,0,0,0
364,architecture_037_single,architecture,videocrafter,wan21,0,0,,,0,0,0
365,architecture_038_multi,architecture,cogvideo5b,vidu,0,0,,,0,0,0
366,architecture_039_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
367,architecture_039_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
368,architecture_039_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
369,architecture_040_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
370,architecture_041_multi,architecture,vidu,wan21,0,0,,,0,0,0
371,architecture_041_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
372,architecture_041_single,architecture,cogfun,wan21,0,0,,,0,0,0
373,architecture_041_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
374,architecture_042_single,architecture,cogfun,vidu,0,0,,,0,0,0
375,architecture_043_single,architecture,cogfun,wan21,0,0,,,0,0,0
376,architecture_044_multi,architecture,cogfun,vidu,0,0,,,0,0,0
377,architecture_044_multi,architecture,cogfun,wan21,0,0,,,0,0,0
378,architecture_044_multi,architecture,vidu,wan21,0,0,,,0,0,0
379,architecture_044_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
380,architecture_045_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
381,architecture_045_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
382,architecture_045_single,architecture,videocrafter,wan21,0,0,,,0,0,0
383,architecture_046_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
384,architecture_046_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
385,architecture_046_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
386,architecture_047_multi,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
387,architecture_047_multi,architecture,cogfun,sora2,0,0,,,0,0,0
388,architecture_047_multi,architecture,cogvideo5b,sora2,0,0,,,0,0,0
389,architecture_047_single,architecture,cogvideo5b,sora2,0,0,,,0,0,0
390,architecture_047_single,architecture,cogvideo5b,vidu,0,0,,,0,0,0
391,architecture_047_single,architecture,sora2,vidu,0,0,,,0,0,0
392,architecture_048_single,architecture,cogvideo5b,vidu,0,0,,,0,0,0
393,architecture_049_single,architecture,cogfun,vidu,0,0,,,0,0,0
394,architecture_050_multi,architecture,cogvideo5b,wan21,0,0,,,0,0,0
395,architecture_051_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
396,architecture_051_single,architecture,cogfun,wan21,0,0,,,0,0,0
397,architecture_051_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
398,architecture_052_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
399,architecture_053_single,architecture,kling,videocrafter,0,0,,,0,0,0
400,architecture_054_single,architecture,vidu,wan21,0,0,,,0,0,0
401,architecture_056_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
402,architecture_056_single,architecture,cogfun,videocrafter,0,0,,,0,0,0
403,architecture_056_single,architecture,cogvideo5b,videocrafter,0,0,,,0,0,0
404,architecture_057_single,architecture,vidu,wan21,0,0,,,0,0,0
405,architecture_059_single,architecture,cogfun,cogvideo5b,0,0,,,0,0,0
406,architecture_060_single,architecture,cogvideo5b,wan21,0,0,,,0,0,0
407,commercial_marketing_001_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
408,commercial_marketing_001_single,commercial_marketing,cogfun,vidu,0,0,,,0,0,0
409,commercial_marketing_001_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
410,commercial_marketing_002_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
411,commercial_marketing_003_single,commercial_marketing,cogfun,kling,0,0,,,0,0,0
412,commercial_marketing_004_single,commercial_marketing,cogvideo5b,jimeng,0,0,,,0,0,0
413,commercial_marketing_004_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
414,commercial_marketing_004_single,commercial_marketing,jimeng,vidu,0,0,,,0,0,0
415,commercial_marketing_005_single,commercial_marketing,sora2,vidu,0,0,,,0,0,0
416,commercial_marketing_005_single,commercial_marketing,sora2,wan21,0,0,,,0,0,0
417,commercial_marketing_005_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
418,commercial_marketing_006_single,commercial_marketing,videocrafter,vidu,0,0,,,0,0,0
419,commercial_marketing_007_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
420,commercial_marketing_007_single,commercial_marketing,cogfun,kling,0,0,,,0,0,0
421,commercial_marketing_007_single,commercial_marketing,cogvideo5b,kling,0,0,,,0,0,0
422,commercial_marketing_008_single,commercial_marketing,cogfun,vidu,0,0,,,0,0,0
423,commercial_marketing_008_single,commercial_marketing,cogfun,wan21,0,0,,,0,0,0
424,commercial_marketing_008_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
425,commercial_marketing_009_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
426,commercial_marketing_009_single,commercial_marketing,cogfun,vidu,0,0,,,0,0,0
427,commercial_marketing_009_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
428,commercial_marketing_010_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
429,commercial_marketing_010_single,commercial_marketing,cogfun,vidu,0,0,,,0,0,0
430,commercial_marketing_010_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
431,commercial_marketing_011_single,commercial_marketing,jimeng,sora2,0,0,,,0,0,0
432,commercial_marketing_011_single,commercial_marketing,jimeng,vidu,0,0,,,0,0,0
433,commercial_marketing_011_single,commercial_marketing,sora2,vidu,0,0,,,0,0,0
434,commercial_marketing_012_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
435,commercial_marketing_013_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
436,commercial_marketing_014_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
437,commercial_marketing_015_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
438,commercial_marketing_015_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
439,commercial_marketing_015_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
440,commercial_marketing_016_single,commercial_marketing,videocrafter,wan21,0,0,,,0,0,0
441,commercial_marketing_018_single,commercial_marketing,kling,wan21,0,0,,,0,0,0
442,commercial_marketing_019_single,commercial_marketing,cogvideo5b,videocrafter,0,0,,,0,0,0
443,commercial_marketing_019_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
444,commercial_marketing_019_single,commercial_marketing,videocrafter,wan21,0,0,,,0,0,0
445,commercial_marketing_020_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
446,commercial_marketing_021_single,commercial_marketing,cogvideo5b,jimeng,0,0,,,0,0,0
447,commercial_marketing_021_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
448,commercial_marketing_021_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
449,commercial_marketing_021_single,commercial_marketing,jimeng,vidu,0,0,,,0,0,0
450,commercial_marketing_021_single,commercial_marketing,jimeng,wan21,0,0,,,0,0,0
451,commercial_marketing_021_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
452,commercial_marketing_022_single,commercial_marketing,cogvideo5b,kling,0,0,,,0,0,0
453,commercial_marketing_022_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
454,commercial_marketing_022_single,commercial_marketing,kling,wan21,0,0,,,0,0,0
455,commercial_marketing_024_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
456,commercial_marketing_024_single,commercial_marketing,cogfun,wan21,0,0,,,0,0,0
457,commercial_marketing_024_single,commercial_marketing,cogvideo5b,wan21,0,0,,,0,0,0
458,commercial_marketing_025_single,commercial_marketing,cogfun,cogvideo5b,0,0,,,0,0,0
459,commercial_marketing_025_single,commercial_marketing,cogfun,vidu,0,0,,,0,0,0
460,commercial_marketing_025_single,commercial_marketing,cogvideo5b,vidu,0,0,,,0,0,0
461,commercial_marketing_026_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
462,commercial_marketing_027_single,commercial_marketing,cogvideo5b,jimeng,0,0,,,0,0,0
463,commercial_marketing_027_single,commercial_marketing,cogvideo5b,sora2,0,0,,,0,0,0
464,commercial_marketing_027_single,commercial_marketing,jimeng,sora2,0,0,,,0,0,0
465,commercial_marketing_028_single,commercial_marketing,kling,videocrafter,0,0,,,0,0,0
466,commercial_marketing_029_multi,commercial_marketing,cogfun,videocrafter,0,0,,,0,0,0
467,commercial_marketing_030_multi,commercial_marketing,cogfun,kling,0,0,,,0,0,0
468,commercial_marketing_030_multi,commercial_marketing,cogfun,wan21,0,0,,,0,0,0
469,commercial_marketing_030_multi,commercial_marketing,kling,wan21,0,0,,,0,0,0
470,commercial_marketing_032_single,commercial_marketing,vidu,wan21,0,0,,,0,0,0
471,commercial_marketing_038_multi,commercial_marketing,cogfun,wan21,0,0,,,0,0,0
472,commercial_marketing_040_multi,commercial_marketing,cogfun,wan21,0,0,,,0,0,0
473,food_001_single,food,videocrafter,wan21,0,0,,,0,0,0
474,food_002_single,food,cogvideo5b,wan21,0,0,,,0,0,0
475,food_003_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
476,food_003_single,food,cogfun,vidu,0,0,,,0,0,0
477,food_003_single,food,cogvideo5b,vidu,0,0,,,0,0,0
478,food_006_single,food,kling,vidu,0,0,,,0,0,0
479,food_006_single,food,kling,wan21,0,0,,,0,0,0
480,food_006_single,food,vidu,wan21,0,0,,,0,0,0
481,food_007_single,food,kling,videocrafter,0,0,,,0,0,0
482,food_009_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
483,food_009_single,food,cogfun,videocrafter,0,0,,,0,0,0
484,food_009_single,food,cogfun,vidu,0,0,,,0,0,0
485,food_009_single,food,cogvideo5b,videocrafter,0,0,,,0,0,0
486,food_009_single,food,cogvideo5b,vidu,0,0,,,0,0,0
487,food_009_single,food,videocrafter,vidu,0,0,,,0,0,0
488,food_011_single,food,cogvideo5b,vidu,0,0,,,0,0,0
489,food_012_single,food,cogfun,videocrafter,0,0,,,0,0,0
490,food_012_single,food,cogfun,vidu,0,0,,,0,0,0
491,food_012_single,food,videocrafter,vidu,0,0,,,0,0,0
492,food_014_single,food,cogvideo5b,videocrafter,0,0,,,0,0,0
493,food_015_single,food,videocrafter,wan21,0,0,,,0,0,0
494,food_016_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
495,food_016_single,food,cogfun,vidu,0,0,,,0,0,0
496,food_016_single,food,cogvideo5b,vidu,0,0,,,0,0,0
497,food_017_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
498,food_019_multi,food,cogvideo5b,wan21,0,0,,,0,0,0
499,food_019_single,food,cogvideo5b,videocrafter,0,0,,,0,0,0
500,food_020_multi,food,jimeng,kling,0,0,,,0,0,0
501,food_020_multi,food,jimeng,vidu,0,0,,,0,0,0
502,food_020_multi,food,kling,vidu,0,0,,,0,0,0
503,food_020_single,food,jimeng,kling,0,0,,,0,0,0
504,food_020_single,food,jimeng,videocrafter,0,0,,,0,0,0
505,food_020_single,food,kling,videocrafter,0,0,,,0,0,0
506,food_022_single,food,cogfun,kling,0,0,,,0,0,0
507,food_023_multi,food,cogvideo5b,videocrafter,0,0,,,0,0,0
508,food_023_multi,food,cogvideo5b,vidu,0,0,,,0,0,0
509,food_023_multi,food,videocrafter,vidu,0,0,,,0,0,0
510,food_023_single,food,kling,vidu,0,0,,,0,0,0
511,food_024_single,food,cogvideo5b,jimeng,0,0,,,0,0,0
512,food_024_single,food,cogvideo5b,kling,0,0,,,0,0,0
513,food_024_single,food,cogvideo5b,videocrafter,0,0,,,0,0,0
514,food_024_single,food,cogvideo5b,wan21,0,0,,,0,0,0
515,food_024_single,food,jimeng,kling,0,0,,,0,0,0
516,food_024_single,food,jimeng,videocrafter,0,0,,,0,0,0
517,food_024_single,food,jimeng,wan21,0,0,,,0,0,0
518,food_024_single,food,kling,videocrafter,0,0,,,0,0,0
519,food_024_single,food,kling,wan21,0,0,,,0,0,0
520,food_024_single,food,videocrafter,wan21,0,0,,,0,0,0
521,food_026_multi,food,cogvideo5b,wan21,0,0,,,0,0,0
522,food_026_single,food,cogfun,vidu,0,0,,,0,0,0
523,food_026_single,food,cogfun,wan21,0,0,,,0,0,0
524,food_026_single,food,vidu,wan21,0,0,,,0,0,0
525,food_027_single,food,cogfun,vidu,0,0,,,0,0,0
526,food_030_single,food,videocrafter,vidu,0,0,,,0,0,0
527,food_031_multi,food,cogfun,wan21,0,0,,,0,0,0
528,food_031_single,food,kling,wan21,0,0,,,0,0,0
529,food_032_multi,food,cogfun,videocrafter,0,0,,,0,0,0
530,food_032_multi,food,cogfun,vidu,0,0,,,0,0,0
531,food_032_multi,food,videocrafter,vidu,0,0,,,0,0,0
532,food_032_single,food,cogfun,videocrafter,0,0,,,0,0,0
533,food_032_single,food,cogfun,vidu,0,0,,,0,0,0
534,food_032_single,food,videocrafter,vidu,0,0,,,0,0,0
535,food_033_single,food,cogfun,videocrafter,0,0,,,0,0,0
536,food_033_single,food,cogfun,wan21,0,0,,,0,0,0
537,food_033_single,food,videocrafter,wan21,0,0,,,0,0,0
538,food_035_single,food,sora2,videocrafter,0,0,,,0,0,0
539,food_035_single,food,sora2,vidu,0,0,,,0,0,0
540,food_035_single,food,videocrafter,vidu,0,0,,,0,0,0
541,food_036_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
542,food_036_single,food,cogfun,wan21,0,0,,,0,0,0
543,food_036_single,food,cogvideo5b,wan21,0,0,,,0,0,0
544,food_037_multi,food,cogfun,kling,0,0,,,0,0,0
545,food_037_multi,food,cogfun,vidu,0,0,,,0,0,0
546,food_037_multi,food,cogfun,wan21,0,0,,,0,0,0
547,food_037_multi,food,kling,vidu,0,0,,,0,0,0
548,food_037_multi,food,kling,wan21,0,0,,,0,0,0
549,food_037_multi,food,vidu,wan21,0,0,,,0,0,0
550,food_037_single,food,cogfun,jimeng,0,0,,,0,0,0
551,food_037_single,food,cogfun,kling,0,0,,,0,0,0
552,food_037_single,food,cogfun,vidu,0,0,,,0,0,0
553,food_037_single,food,cogfun,wan21,0,0,,,0,0,0
554,food_037_single,food,jimeng,kling,0,0,,,0,0,0
555,food_037_single,food,jimeng,vidu,0,0,,,0,0,0
556,food_037_single,food,jimeng,wan21,0,0,,,0,0,0
557,food_037_single,food,kling,vidu,0,0,,,0,0,0
558,food_037_single,food,kling,wan21,0,0,,,0,0,0
559,food_037_single,food,vidu,wan21,0,0,,,0,0,0
560,food_038_single,food,cogfun,wan21,0,0,,,0,0,0
561,food_039_single,food,cogfun,kling,0,0,,,0,0,0
562,food_039_single,food,cogfun,videocrafter,0,0,,,0,0,0
563,food_039_single,food,cogfun,wan21,0,0,,,0,0,0
564,food_039_single,food,kling,videocrafter,0,0,,,0,0,0
565,food_039_single,food,kling,wan21,0,0,,,0,0,0
566,food_039_single,food,videocrafter,wan21,0,0,,,0,0,0
567,food_040_single,food,cogvideo5b,wan21,0,0,,,0,0,0
568,food_041_single,food,cogvideo5b,videocrafter,0,0,,,0,0,0
569,food_043_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
570,food_043_single,food,cogfun,sora2,0,0,,,0,0,0
571,food_043_single,food,cogfun,vidu,0,0,,,0,0,0
572,food_043_single,food,cogvideo5b,sora2,0,0,,,0,0,0
573,food_043_single,food,cogvideo5b,vidu,0,0,,,0,0,0
574,food_043_single,food,sora2,vidu,0,0,,,0,0,0
575,food_044_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
576,food_044_single,food,cogfun,jimeng,0,0,,,0,0,0
577,food_044_single,food,cogfun,wan21,0,0,,,0,0,0
578,food_044_single,food,cogvideo5b,jimeng,0,0,,,0,0,0
579,food_044_single,food,cogvideo5b,wan21,0,0,,,0,0,0
580,food_044_single,food,jimeng,wan21,0,0,,,0,0,0
581,food_045_single,food,cogvideo5b,sora2,0,0,,,0,0,0
582,food_045_single,food,cogvideo5b,wan21,0,0,,,0,0,0
583,food_045_single,food,sora2,wan21,0,0,,,0,0,0
584,food_046_single,food,cogvideo5b,jimeng,0,0,,,0,0,0
585,food_046_single,food,cogvideo5b,kling,0,0,,,0,0,0
586,food_046_single,food,cogvideo5b,sora2,0,0,,,0,0,0
587,food_046_single,food,jimeng,kling,0,0,,,0,0,0
588,food_046_single,food,jimeng,sora2,0,0,,,0,0,0
589,food_046_single,food,kling,sora2,0,0,,,0,0,0
590,food_047_single,food,sora2,vidu,0,0,,,0,0,0
591,food_047_single,food,sora2,wan21,0,0,,,0,0,0
592,food_047_single,food,vidu,wan21,0,0,,,0,0,0
593,food_048_single,food,cogfun,videocrafter,0,0,,,0,0,0
594,food_048_single,food,cogfun,wan21,0,0,,,0,0,0
595,food_048_single,food,videocrafter,wan21,0,0,,,0,0,0
596,food_049_multi,food,cogvideo5b,videocrafter,0,0,,,0,0,0
597,food_049_multi,food,cogvideo5b,wan21,0,0,,,0,0,0
598,food_049_multi,food,videocrafter,wan21,0,0,,,0,0,0
599,food_049_single,food,cogvideo5b,jimeng,0,0,,,0,0,0
600,food_049_single,food,cogvideo5b,wan21,0,0,,,0,0,0
601,food_049_single,food,jimeng,wan21,0,0,,,0,0,0
602,food_050_multi,food,cogfun,videocrafter,0,0,,,0,0,0
603,food_050_multi,food,cogfun,vidu,0,0,,,0,0,0
604,food_050_multi,food,videocrafter,vidu,0,0,,,0,0,0
605,food_051_single,food,cogfun,vidu,0,0,,,0,0,0
606,food_054_single,food,cogfun,kling,0,0,,,0,0,0
607,food_055_single,food,vidu,wan21,0,0,,,0,0,0
608,food_056_multi,food,cogfun,vidu,0,0,,,0,0,0
609,food_056_single,food,cogfun,vidu,0,0,,,0,0,0
610,food_057_single,food,cogfun,wan21,0,0,,,0,0,0
611,food_060_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
612,food_061_single,food,videocrafter,vidu,0,0,,,0,0,0
613,food_061_single,food,videocrafter,wan21,0,0,,,0,0,0
614,food_061_single,food,vidu,wan21,0,0,,,0,0,0
615,food_062_single,food,cogfun,cogvideo5b,0,0,,,0,0,0
616,food_062_single,food,cogfun,jimeng,0,0,,,0,0,0
617,food_062_single,food,cogfun,kling,0,0,,,0,0,0
618,food_062_single,food,cogvideo5b,jimeng,0,0,,,0,0,0
619,food_062_single,food,cogvideo5b,kling,0,0,,,0,0,0
620,food_062_single,food,jimeng,kling,0,0,,,0,0,0
621,food_063_single,food,cogvideo5b,vidu,0,0,,,0,0,0
622,industrial_activity_001_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
623,industrial_activity_001_single,industrial_activity,cogfun,kling,0,0,,,0,0,0
624,industrial_activity_001_single,industrial_activity,cogvideo5b,kling,0,0,,,0,0,0
625,industrial_activity_002_single,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
626,industrial_activity_003_multi,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
627,industrial_activity_005_single,industrial_activity,sora2,wan21,0,0,,,0,0,0
628,industrial_activity_006_single,industrial_activity,kling,vidu,0,0,,,0,0,0
629,industrial_activity_007_multi,industrial_activity,videocrafter,vidu,0,0,,,0,0,0
630,industrial_activity_007_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
631,industrial_activity_007_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
632,industrial_activity_007_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
633,industrial_activity_008_multi,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
634,industrial_activity_008_multi,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
635,industrial_activity_008_multi,industrial_activity,vidu,wan21,0,0,,,0,0,0
636,industrial_activity_008_single,industrial_activity,cogvideo5b,kling,0,0,,,0,0,0
637,industrial_activity_008_single,industrial_activity,cogvideo5b,videocrafter,0,0,,,0,0,0
638,industrial_activity_008_single,industrial_activity,kling,videocrafter,0,0,,,0,0,0
639,industrial_activity_009_single,industrial_activity,cogvideo5b,videocrafter,0,0,,,0,0,0
640,industrial_activity_010_single,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
641,industrial_activity_012_single,industrial_activity,kling,videocrafter,0,0,,,0,0,0
642,industrial_activity_012_single,industrial_activity,kling,wan21,0,0,,,0,0,0
643,industrial_activity_012_single,industrial_activity,videocrafter,wan21,0,0,,,0,0,0
644,industrial_activity_013_single,industrial_activity,videocrafter,vidu,0,0,,,0,0,0
645,industrial_activity_013_single,industrial_activity,videocrafter,wan21,0,0,,,0,0,0
646,industrial_activity_013_single,industrial_activity,vidu,wan21,0,0,,,0,0,0
647,industrial_activity_014_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
648,industrial_activity_014_single,industrial_activity,cogfun,jimeng,0,0,,,0,0,0
649,industrial_activity_014_single,industrial_activity,cogvideo5b,jimeng,0,0,,,0,0,0
650,industrial_activity_015_multi,industrial_activity,cogfun,vidu,0,0,,,0,0,0
651,industrial_activity_015_multi,industrial_activity,cogfun,wan21,0,0,,,0,0,0
652,industrial_activity_015_multi,industrial_activity,vidu,wan21,0,0,,,0,0,0
653,industrial_activity_017_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
654,industrial_activity_019_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
655,industrial_activity_019_single,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
656,industrial_activity_019_single,industrial_activity,vidu,wan21,0,0,,,0,0,0
657,industrial_activity_020_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
658,industrial_activity_021_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
659,industrial_activity_022_single,industrial_activity,kling,videocrafter,0,0,,,0,0,0
660,industrial_activity_022_single,industrial_activity,kling,wan21,0,0,,,0,0,0
661,industrial_activity_022_single,industrial_activity,videocrafter,wan21,0,0,,,0,0,0
662,industrial_activity_023_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
663,industrial_activity_023_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
664,industrial_activity_023_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
665,industrial_activity_024_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
666,industrial_activity_026_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
667,industrial_activity_027_multi,industrial_activity,videocrafter,vidu,0,0,,,0,0,0
668,industrial_activity_027_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
669,industrial_activity_027_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
670,industrial_activity_027_single,industrial_activity,cogfun,wan21,0,0,,,0,0,0
671,industrial_activity_027_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
672,industrial_activity_027_single,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
673,industrial_activity_027_single,industrial_activity,vidu,wan21,0,0,,,0,0,0
674,industrial_activity_028_single,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
675,industrial_activity_029_single,industrial_activity,cogfun,wan21,0,0,,,0,0,0
676,industrial_activity_030_single,industrial_activity,cogvideo5b,vidu,0,0,,,0,0,0
677,industrial_activity_031_multi,industrial_activity,cogfun,cogvideo5b,0,0,,,0,0,0
678,industrial_activity_031_multi,industrial_activity,cogfun,wan21,0,0,,,0,0,0
679,industrial_activity_031_multi,industrial_activity,cogvideo5b,wan21,0,0,,,0,0,0
680,industrial_activity_031_single,industrial_activity,cogfun,vidu,0,0,,,0,0,0
681,industrial_activity_032_single,industrial_activity,sora2,videocrafter,0,0,,,0,0,0
682,industrial_activity_032_single,industrial_activity,sora2,vidu,0,0,,,0,0,0
683,industrial_activity_032_single,industrial_activity,videocrafter,vidu,0,0,,,0,0,0
684,industrial_activity_033_single,industrial_activity,cogfun,wan21,0,0,,,0,0,0
